-1 -1,755 90,805 180,-1 -1,790 180,760 250,710 300,660 350,615 405,515 405,410 485,375 585,390 655,330 645,215 660,100 755,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,$
-1 -1,755 75,795 170,-1 -1,-1 -1,770 240,720 290,670 340,625 400,525 400,415 475,375 575,385 650,345 640,225 650,120 740,105 760,-1 -1,-1 -1,-1 -1,-1 -1,$
-1 -1,760 60,785 160,-1 -1,-1 -1,780 230,730 280,680 330,635 390,540 400,415 460,380 565,380 640,360 635,235 640,140 725,135 770,-1 -1,-1 -1,-1 -1,$
-1 -1,760 45,775 150,-1 -1,-1 -1,785 220,740 270,690 320,645 380,555 400,420 445,385 555,380 630,370 620,245 630,160 710,155 780,-1 -1,-1 -1,-1 -1,185 765,$
-1 -1,765 30,765 140,-1 -1,-1 -1,790 210,750 260,700 310,655 370,570 405,425 430,385 545,380 620,370 610,255 620,180 695,155 710,-1 -1,-1 -1,-1 -1,$
-1 -1,765 15,760 130,-1 -1,-1 -1,790 200,760 250,710 300,660 360,585 405,445 425,385 535,375 610,370 600,265 610,200 680,-1 -1,-1 -1,-1 -1,$
-1 -1,825 75,825 165,-1 -1,890 215,945 300,930 365,830 450,745 560,670 645,-1 -1,675 585,-1 -1,740 555,745 415,700 320,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,705 310,665 365,590 430,550 460,-1 -1,650 380,720 325,700 320,-1 -1,
-1 -1,820 60,810 150,815 155,880 205,945 285,945 380,855 475,765 580,685 660,-1 -1,675 580,-1 -1,730 560,735 420,725 330,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,705 325,680 335,705 315,725 330,-1 -1,
-1 -1,820 45,820 130,805 140,870 195,935 275,950 350,855 450,785 600,700 675,710 660,680 570,-1 -1,750 560,755 420,750 315,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,690 330,665 355,715 315,750 315,-1 -1,
-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,765 40,820 170,820 245,745 285,710 290,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,695 320,640 390,565 445,525 470,-1 -1,625 390,685 315,710 290,-1 -1,
-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,765 25,805 155,835 230,760 275,690 305,-1 -1,-1 -1,-1 -1,690 325,645 385,565 445,535 475,-1 -1,-1 -1,-1 -1,640 400,690 325,690 305,-1 -1,
-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,765 10,790 140,850 215,770 270,760 295,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,715 320,650 380,580 435,545 480,-1 -1,640 390,700 330,760 295,-1 -1,
-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,765 25,765 50,775 100,790 135,815 170,830 195,830 240,800 260,765 280,735 280,-1 -1,-1 -1,695 315,665 340,680 305,735 280,-1 -1,
-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,765 10,765 35,770 85,785 120,805 160,820 185,830 225,820 245,800 265,760 285,725 300,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
625 655,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,640 655,675 675,-1 -1,700 560,-1 -1,710 570,680 650,-1 -1,415 675,230 665,-1 -1,145 755,85 750,-1 -1,-1 -1,140 775,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
605 645,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,630 655,680 680,-1 -1,700 565,-1 -1,-1 -1,695 665,620 670,315 640,220 655,-1 -1,135 755,90 745,-1 -1,95 750,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
595 655,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,630 670,685 685,-1 -1,700 570,-1 -1,-1 -1,675 580,650 660,325 660,235 670,-1 -1,145 765,100 740,-1 -1,-1 -1,-1 -1,-1 -1,255 660,380 500,500 505,580 405,650 310,670 280,675 260,
